Change number	Description	Valid From	Authorization group	Reason for Change	Change Status	Created on	Created by
1	Raw material obsolete in MM             	2/11/2006	    	exclude ROH 030209.003 from BOM         	2	2/10/2006	DBAYDO      
2	"Archiving Recipes:366, 370, 380, 353    "	2/11/2006	    	cut over clean up per David Baumgartner 	1	2/13/2006	DBAYDO      
3	change effectivity date on Recipe       	2/15/2006	    	per David Baumgartner                   	2	2/13/2006	DBAYDO      
4	change effectivity date on Recipe       	3/5/2006	    	per David Baumgartner                   	1	2/13/2006	DBAYDO      
5	change effectivity date on Recipe       	3/26/2006	    	per David Baumgartner                   	2	2/13/2006	DBAYDO      
6	change effectivity date on Recipe       	3/31/2006	    	per David Baumgartner                   	1	2/13/2006	DBAYDO      
7	change effectivity date on Recipe       	4/1/2006	    	per David Baumgartner                   	2	2/13/2006	DBAYDO      
8	change effectivity date on Recipe       	4/8/2006	    	per David Baumgartner                   	2	2/13/2006	DBAYDO      
9	change effectivity date on Recipe       	4/30/2006	    	per David Baumgartner                   	2	2/13/2006	DBAYDO      
10	change effectivity date on Recipe       	5/3/2006	    	per David Baumgartner                   	2	2/13/2006	DBAYDO      
11	change effectivity date on Recipes      	6/30/2006	    	per David Baumgartner                   	2	2/13/2006	DBAYDO      
12	make changes to 11 recipes              	2/13/2006	    	per Debra Scharping                     	2	2/13/2006	DBAYDO      
13	to obsolete 4 recipes                   	2/13/2006	    	per Debra Scharping                     	2	2/13/2006	DBAYDO      
14	new specs converted to released by error	2/14/2006	    	converted to released by error          	2	2/13/2006	DBAYDO      
15	Change Number for Recipe Management     	01/01/0001	    	                                        	1	2/14/2006	DSCHARPI    
16	Obsolete Test Display Component Spec (10	2/15/2006	    	change status to Obsolete               	2	2/14/2006	DBAYDO      
17	New Effectivity Date for Rcp 149 - July 	7/1/2006	    	Formula updated to include alternate    	2	2/14/2006	DBAYDO      
18	Project Freud- 6/2x40 fl oz BHV OR Rnch 	2/22/2006	    	New cases size due to machine formed tra	2	2/22/2006	EBURGOS     
19	Project Freud.  Recipe needs to be updat	2/22/2006	    	New materials.                          	2	2/23/2006	DBAYDO      
20	Add alternate case to recipe.           	3/7/2006	    	Change recipe to add alternate case spec	1	2/23/2006	DBAYDO      
21	Fix migrated data                       	2/20/2006	    	Fix migrated data                       	2	2/24/2006	DBAYDO      
22	Create alternate material case spec     	3/7/2006	    	Change recipe to add alternate case spec	1	2/24/2006	DBAYDO      
23	Fix migrated data                       	2/20/2006	    	Data migrated wrong or not complete     	2	2/24/2006	DBAYDO      
24	Input material in Recipe has wrong Base 	2/21/2006	    	OOPS                                    	2	2/27/2006	DBAYDO      
25	Recipes/specs needs to be updated for af	2/22/2006	    	New production facilities & new material	2	2/27/2006	DBAYDO      
26	Recipes/specs needs to be updated for af	2/22/2006	    	New materials                           	2	2/27/2006	DBAYDO      
27	Freud spec (customer unit) change       	2/22/2006	    	New weights and dimensions.             	2	3/1/2006	DBAYDO      
28	Project StingRay - This is a formula imp	3/21/2006	    	Product Enhancement                     	2	3/3/2006	DBAYDO      
29	Can't create BOM and set up item        	3/6/2006	    	Wrong unit selected for recipe          	2	3/6/2006	DBAYDO      
30	BHV Formula Change for IHUT Production  	3/27/2006	    	Formula and weights change on specificat	1	3/8/2006	DBAYDO      
31	New materials for in-house production.  	5/4/2006	    	Recipe - Change Material                	1	3/8/2006	DBAYDO      
32	New materials for in-house production.  	5/4/2006	    	Recipe - Change Material                	2	3/13/2006	DBAYDO      
33	Project Freud- new machine formed trays 	2/22/2006	    	New materials and new weights/dimensions	2	3/17/2006	DBAYDO      
34	move recipe 656 and packaging spec 10172	4/4/2006	    	Change Status From Design to Release    	1	3/17/2006	DBAYDO      
35	Project Freud- new materials for shrink 	2/23/2006	    	Recipe - Change Material                	2	3/20/2006	DBAYDO      
36	Ingredient update after audit           	4/18/2006	    	Updating specification data             	2	3/31/2006	DBAYDO      
37	Obsolete formulae were migrated to PDM  	4/9/2006	    	Obsolete specs and recipes              	2	4/4/2006	DBAYDO      
38	Ingredient specification data update    	4/7/2006	    	Ingredient specification update in PDM  	2	4/4/2006	DBAYDO      
39	Reverse changes made under ECO No. 30   	4/4/2006	    	Reverse changes made under ECO No. 30 fo	2	4/5/2006	DBAYDO      
40	Change max. stack height                	4/4/2006	    	Correction to maximum stack height infor	2	4/5/2006	DBAYDO      
41	Wrong Fact Sheet data                   	4/5/2006	    	Fact Sheet Error                        	2	4/5/2006	DBAYDO      
42	correct the BOM                         	4/5/2006	    	To correct the BOM                      	2	4/5/2006	DBAYDO      
43	To correct the BOM                      	4/5/2006	    	add the ZN flag to Consumer Unit Materia	2	4/5/2006	DBAYDO      
44	Revised Wheeling Bulk RSC to change Tick	3/27/2006	    	Affects Plant's ability to load on machi	2	4/11/2006	DBAYDO      
45	Duplicate Customer Unit                 	4/12/2006	    	Duplicate Customer Unit                 	1	4/13/2006	DBAYDO      
46	Carton information was never entered    	4/24/2006	    	Need specification information          	2	4/25/2006	DBAYDO      
47	Replace FG & Add TieSheet               	5/3/2006	    	Recipe - Add Alternate                  	2	5/3/2006	DBAYDO      
48	 Weight fields are incorrect            	5/2/2006	    	Data migration issue                    	2	5/3/2006	DBAYDO      
49	"Label Changes - Remove ""new""            "	5/3/2006	    	Brand Maintenance                       	1	5/4/2006	DBAYDO      
50	"Remove ""new"" from Labels                "	5/3/2006	    	Brand Maintenance                       	1	5/4/2006	DBAYDO      
51	Formula variance  Whlg is having trouble	5/5/2006	    	Variance to recipe                      	2	5/8/2006	DBAYDO      
52	Soft Conversion - Replace Pkg WIP for 16	5/5/2006	    	Change to Pallet Pattern on LID         	1	5/8/2006	DBAYDO      
53	Replace Pkg WIP for 16z LID - 12 SKU/WIP	5/5/2006	    	 Change to Pallet Pattern on LID        	1	5/8/2006	DBAYDO      
54	Dimensions reversed (noted by Rick Conge	5/8/2006	    	Dimensions reversed                     	2	5/9/2006	DBAYDO      
55	shelf life listed is incorrect          	5/8/2006	    	 Mistake during initial data migration  	2	5/9/2006	DBAYDO      
56	 update Recipe User Status              	5/10/2006	    	Change Status From Design to Release    	2	5/9/2006	DBAYDO      
57	Several migration issues                	5/11/2006	    	 Correct migration issues               	2	5/12/2006	DBAYDO      
58	Wrong formula in recipe                 	7/2/2006	    	Recipe - Change Material                	2	5/15/2006	DBAYDO      
59	Missing Fact Sheet Photos               	5/15/2006	    	New graphic                             	2	5/16/2006	DBAYDO      
60	Need to update factsheet photo          	5/15/2006	    	New graphic                             	1	5/16/2006	DBAYDO      
61	Add FSP and correct description errors. 	5/16/2006	    	New graphic                             	1	5/16/2006	DBAYDO      
62	Formula variance.                       	5/5/2006	    	Variance to recipe                      	2	5/18/2006	DBAYDO      
63	Pallets/truck on Customer Unit Specs mis	5/23/2006	    	Fact Sheet Error                        	2	5/24/2006	CALLEN1     
64	"Add ""Fact Sheet Photo""                  "	5/28/2006	    	"Add ""Fact Sheet Photo""                  "	2	5/31/2006	CALLEN1     
65	Change titratable acidity from COA to in	6/6/2006	    	Other -See Description Issue            	2	6/6/2006	CALLEN1     
66	Product short name changed after recipes	6/16/2006	    	Product name change                     	2	6/19/2006	CALLEN1     
67	Product name changed after recipes in re	6/19/2006	    	Product name change                     	2	6/20/2006	CALLEN1     
68	Update Garlic Powder (non irradiated) # 	6/23/2006	    	Include a 25% Chinese garlic/ 75 US garl	1	6/21/2006	CALLEN1     
69	6 customer unit specs did not correcly p	6/26/2006	    	Correct Migration Error                 	2	6/27/2006	CALLEN1     
70	Variance has ended.  Changing back to co	6/30/2006	    	Variance ended - back to correct formula	2	6/27/2006	CALLEN1     
71	Revision of standards and recipes based 	6/27/2006	    	Product Improvement                     	2	6/27/2006	CALLEN1     
72	Wrong Pallets/truck on ZCLX_CUS Specs   	7/6/2006	    	Fact Sheet Error                        	2	7/6/2006	EBURGOS     
73	Data Discrepancy CU BHV ItalRnch 16fo   	7/7/2006	    	Data Discprepancy in bottle weight      	1	7/7/2006	EBURGOS     
74	"Varience has ended, switching back to or"	7/16/2006	    	"Varience ended, back to original recipe "	2	7/12/2006	CALLEN1     
75	Blanket to fix migration issues         	7/12/2006	    	Blanket to fix migration issues         	2	7/12/2006	CALLEN1     
76	Need to add assembled display dimensions	7/14/2006	    	Fact Sheet Error                        	2	7/17/2006	CALLEN1     
77	New artwork on case to standardize BHV O	7/17/2006	    	New graphic                             	2	7/18/2006	CALLEN1     
78	Corrections to Specifications           	7/18/2006	    	Change target & limits                  	2	7/18/2006	CALLEN1     
79	Migration issues and errors.            	7/19/2006	    	Fact Sheet Error                        	2	7/20/2006	CALLEN1     
80	Need to modify recipe to remove CU and r	7/20/2006	    	Recipe - Add Alternate                  	2	7/20/2006	CALLEN1     
81	Incorrect board description.  Specs say 	7/24/2006	    	Typo                                    	2	7/24/2006	CALLEN1     
82	Incorrect QTYs in both my Recipe and my 	7/24/2006	    	Incorrect Qtys in recipes.              	2	7/24/2006	CALLEN1     
83	Need to bring recipe 693 back from obsol	7/26/2006	    	Changing System status and User Status. 	2	7/27/2006	CALLEN1     
84	Case property tree missing usage informa	8/8/2006	    	Usage data never filled in              	2	8/8/2006	CALLEN1     
85	Incorrect data for 3 KCM Mod Pallets    	8/8/2006	    	Fact Sheet Error                        	2	8/8/2006	CALLEN1     
86	"As a part of the conversion to bulk, rec"	8/18/2006	    	Recipe - Change Material                	2	8/14/2006	CALLEN1     
87	Add New LABEL for Redesign              	8/17/2006	    	Recipe - Change Material                	1	8/16/2006	CALLEN1     
88	Add new LABELs for Redesign             	8/17/2006	    	Recipe - Change Material                	1	8/16/2006	CALLEN1     
89	Add new LABELS f/b/n for redesign       	8/17/2006	    	Recipe - Change Material                	1	8/17/2006	CALLEN1     
90	Add new LABELs B/F/N for Redesign       	8/17/2006	    	Recipe - Change Material                	1	8/17/2006	CALLEN1     
91	Add new LABELS f/b/n for Redesign       	8/17/2006	    	Recipe - Change Material                	1	8/17/2006	CALLEN1     
92	Add new LABELS F/B/N for Redesign       	8/17/2006	    	Recipe - Change Material                	2	8/17/2006	CALLEN1     
93	Need to update design recipe to reflect 	8/21/2006	    	Recipe - Change Material                	2	8/22/2006	CALLEN1     
94	Add new labels F/B/N redesign           	8/25/2006	    	Recipe - Change Material                	1	8/28/2006	CALLEN1     
95	Update Labels for SOP                   	9/8/2006	    	Recipe - Change Material                	1	9/8/2006	CALLEN1     
96	Change Assembly Pkg Number              	9/8/2006	    	Recipe - Change Material                	2	9/8/2006	CALLEN1     
97	Update Label to Create a one-time Promo 	9/8/2006	    	Recipe - Add Alternate                  	2	9/8/2006	CALLEN1     
98	The bottles are currently being produced	9/7/2006	    	Change target & limits                  	2	9/8/2006	CALLEN1     
99	5 Customer units that use the same case 	9/8/2006	    	Migration issues                        	2	9/8/2006	CALLEN1     
100	Request change number to update garlic p	8/23/2006	    	Fix validity date                       	1	9/8/2006	CALLEN1     
101	Property tree data was not migrated over	9/14/2006	    	All information needs to be updated     	2	9/18/2006	CALLEN1     
102	The Engineering drawings have been chang	9/20/2006	    	Change engineering drawing number       	2	9/20/2006	CALLEN1     
103	Found a label specification that should 	9/20/2006	    	Removed obsolete specification          	2	9/20/2006	CALLEN1     
104	Adjustment to Light Buttermilk Ranch Rec	9/21/2006	    	Formula adjusted to reflect product prod	2	9/21/2006	CALLEN1     
105	Need to change stack and ship heights du	9/21/2006	    	Change max. stack height                	1	9/21/2006	CALLEN1     
106	Update SKU Weight & Name                	9/22/2006	    	"Update Specification Net Weight, Volume "	1	9/22/2006	CALLEN1     
107	Product shelf life change               	11/1/2006	    	Product shelf life change               	2	9/27/2006	CALLEN1     
108	Add Alternate                           	9/27/2006	    	Recipe - Add Alternate                  	2	9/27/2006	CALLEN1     
109	Need to change from 20 case/pallet to 40	9/29/2006	    	Need to change from 20 case/pallet to 40	2	9/29/2006	CALLEN1     
110	Correct incorrectly migrated recipes    	10/4/2006	    	Recipe - Change Material                	2	10/5/2006	CALLEN1     
111	Update spec. to reflect plant trial resu	10/4/2006	    	Change target & limits                  	1	10/5/2006	CALLEN1     
112	Update specs & recipes per EO data      	10/11/2006	    	Change target & limits                  	2	10/12/2006	CALLEN1     
113	Replace current bottom caps with new 'ta	10/16/2006	    	new 'taller' cap to help with production	2	10/16/2006	CALLEN1     
114	Incorrect caramel color percentage      	10/24/2006	    	Caramel level is incorrect              	2	10/25/2006	CALLEN1     
115	Update Recipe to add 6mo Promotional bk 	11/1/2006	    	Recipe - Add Alternate                  	1	10/26/2006	CALLEN1     
116	Update Recipe with SOP Labels           	11/1/2006	    	Recipe - Change Material                	1	10/26/2006	CALLEN1     
117	Update Labels F/B/N to new design - CDN 	11/15/2006	    	Recipe - Add Alternate                  	2	10/26/2006	CALLEN1     
118	Add Alternate 8oz RSC for Soft Conversio	11/15/2006	    	Recipe - Add Alternate                  	1	10/26/2006	CALLEN1     
119	Add Alt  labels with new design         	11/1/2006	    	Recipe - Add Alternate                  	1	10/27/2006	CALLEN1     
120	Shelf life change for LtSrCrmRnch; Will 	11/1/2006	    	Shelf life change                       	1	10/27/2006	CALLEN1     
121	Delete all line items relating to the Co	10/27/2006	    	Recipe - Delete Materials               	2	10/30/2006	CALLEN1     
122	Need to change score location on shrouds	11/3/2006	    	 New score location                     	1	11/3/2006	CALLEN1     
123	Correct Analyiticals on Raw Material Sta	11/6/2006	    	Change target & limits                  	1	11/7/2006	EBURGOS     
124	PDM Data Migration - modify recipes     	11/9/2006	    	PDM Data Migration - modify recipes     	2	11/9/2006	MFREDIAN    
125	ECR Conv of Foods New Prop trees        	11/9/2006	    	                                        	1	11/9/2006	RRAMIRE1    
126	ECR Conv of Foods New Prop trees        	11/9/2006	    	                                        	1	11/9/2006	RRAMIRE1    
127	Change Master                           	11/9/2006	    	                                        	2	11/9/2006	RRAMIRE1    
128	Test for Shake out -STD                 	11/10/2006	    	                                        	1	11/10/2006	SGANDHI     
129	Test for Shake out -STD                 	11/10/2006	    	                                        	1	11/10/2006	SGANDHI     
130	Test for Shake out -STD                 	11/10/2006	    	                                        	1	11/10/2006	SGANDHI     
131	Test for Shake out -STD                 	11/10/2006	    	                                        	1	11/10/2006	SGANDHI     
132	Test for Shake out -Variance            	11/10/2006	    	                                        	1	11/10/2006	SGANDHI     
133	Test for Shake out -Variance            	11/10/2006	    	                                        	1	11/10/2006	SGANDHI     
134	Test for Shake out -STD                 	11/10/2006	    	                                        	1	11/10/2006	SGANDHI     
135	Dummy testing for workflow              	11/10/2006	    	                                        	1	11/10/2006	SGANDHI     
136	20061110	11/10/2006	    	                                        	1	11/10/2006	RRAMIRE1    
137	20061111	11/11/2006	    	                                        	1	11/10/2006	RRAMIRE1    
138	QW                                      	11/10/2006	    	                                        	1	11/10/2006	SGANDHI     
139	Shelf life change                       	11/13/2006	    	                                        	2	11/13/2006	JSCOTT      
140	Testing-Please reject these ECR's       	11/13/2006	    	                                        	1	11/13/2006	SGANDHI     
141	Testing-Please reject these ECR's       	11/13/2006	    	                                        	1	11/13/2006	SGANDHI     
142	Fix Migration errors                    	11/13/2006	    	                                        	2	11/13/2006	DSCHARPI    
143	Replace Case - effective 12/9/06        	11/13/2006	    	                                        	2	11/13/2006	MFREDIAN    
144	Testing-Please reject these ECR's       	11/13/2006	    	                                        	1	11/13/2006	SGANDHI     
145	Obsolete Food Specifications            	11/13/2006	    	                                        	2	11/13/2006	MFREDIAN    
146	Modify recipe quantities                	11/14/2006	    	                                        	1	11/14/2006	DSCHARPI    
147	Migration Error - No data in new trees  	11/15/2006	    	                                        	2	11/15/2006	MFREDIAN    
148	Obsolete Recipes to go w/ EC145 Specs   	11/15/2006	    	                                        	2	11/15/2006	MFREDIAN    
149	Updae recipes affected by 4 case changes	11/15/2006	    	                                        	2	11/15/2006	TWILLIA2    
