Directory:  /datastaging/DV3/sap/out/PDM1517
Name:       RECIPE_Header_9_20181218090634.txt
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Recipe|Description|Change number|Primary Output|Division|Authorization Group|Validity From|Validity To|Created by|Created on|Changed by|Changed on|System Status|User Status|Formula|Flag
0000000000000000000000000000000000007817|CU GrnWks Ntrl DW Liq SplyTng 12/650ml CA||120265.001|11|ALL|00010101|20090817|ALAVICTO|20080512|ALAVICTO|20080512|Released|Released|000000120292|
0000000000000000000000000000000000007817|CU GrnWks Ntrl DW Liq SplyTng 12/650ml CA|000000004136|120264.001|11|ALL|20090818|20100120|ALAVICTO|20080512|AWHALING|20090917|Released|Released|000000120292|
0000000000000000000000000000000000007817|CU GrnWks Ntrl DW Liq SplyTng 12/650ml CA|000000004863|120264.001|11|ALL|20100121|20100706|ALAVICTO|20080512|MILIC|20100121|Released|Released|000000120292|
0000000000000000000000000000000000007817|CU GrnWks Ntrl DW Liq SplyTng 12/650ml CA|000000005870|120264.001|11|ALL|20100707|20110403|ALAVICTO|20080512|MILIC|20100713|Released|Released|000000120292|
0000000000000000000000000000000000007817|CU GrnWks Ntrl DW Liq SplyTng 12/650ml CA|000000007286|120264.001|11|ALL|20100707|20110403|ALAVICTO|20080512|MILIC|20100713|Released|Released|000000120292|
0000000000000000000000000000000000007817|CU GrnWks Ntrl DW Liq SplyTng 12/650ml CA|000000007515|120264.001|11|ALL|20110404|20120219|ALAVICTO|20080512|MILIC|20110404|Released|Released|000000120292|
0000000000000000000000000000000000007817|CU GrnWks Ntrl DW Liq SplyTng 12/650ml CA|000000009133|120264.001|11|ALL|20120220|20130218|ALAVICTO|20080512|MILIC|20120220|Released|Released|000000120292|
0000000000000000000000000000000000007817|CU GrnWks Ntrl DW Liq SplyTng 12/650ml CA|000000011078|120264.001|11|ALL|20130219|20151203|ALAVICTO|20080512|JGRAHAM|20130219|Released|Released|000000120292|
0000000000000000000000000000000000007817|CU GrnWks Ntrl DW Liq SplyTng 12/650ml CA|000000016063|120264.001|11|ALL|20151204|99991231|ALAVICTO|20080512|SHALCOMB|20151204|Released|Released|000000120292|
0000000000000000000000000000000000007817|CU GrnWks Ntrl DW Liq SplyTng 12/650ml CA|000000016359|120264.001|11|ALL|20151204|99991231|ALAVICTO|20080512|SHALCOMB|20151204|Released|Released|000000120292|
0000000000000000000000000000000000007817|CU GrnWks Ntrl DW Liq SplyTng 12/650ml CA|000000017760|120264.001|11|ALL|20151204|99991231|ALAVICTO|20080512|SHALCOMB|20151204|Obsolete|Released Submitted - Obsolete|000000120292|
0000000000000000000000000000000000007818|CU GrnWks Ntrl DW Liq SplyLmn 12/650ml CA||120266.001|11|ALL|00010101|20090817|ALAVICTO|20080512|ALAVICTO|20080512|Released|Released|000000120294|
