Directory:  /datastaging/DV3/sap/out/PDM1517
Name:       RECIPE_IO_9_20181218090634.txt
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Recipe|Change number|Division|Item|Description|Material|Substance|Quantity|UOM|Component Type|Exception Value|Formula
0000000000000000000000000000000000007817||11|0010|CU GrnWks Ntrl DW Liq SplyTng 12/650ml C|120264.001|000000120264|         100.000000|EA|PRODUCT||000000120292
0000000000000000000000000000000000007817||11|0010|BTL-PET 22 fo 25% PCR|116091.001|000000116091|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817||11|0020|LBL-PSPlas GW DshWshLiq SmpTng 650ml Ft|116127.007|000000116127|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817||11|0030|LBL-PSPlas GW DshWshLiq SmpTng 650ml Bk|116128.007|000000116128|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817||11|0040|CLOS-Disp Flip Top, 28-400, Natural|119171.001|000000119171|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817||11|0050|FM GrnWksNtrlDWLiq SplyTng|116313.002|000000118548|         146.330000|LB|COMPONENT||000000120292
0000000000000000000000000000000000007817|000000004136|11|0010|CU GrnWks Ntrl DW Liq SplyTng 12/650ml C|120264.001|000000120264|         100.000000|EA|PRODUCT||000000120292
0000000000000000000000000000000000007817|000000004136|11|0010|BTL-PET 22 fo 25% PCR|116091.001|000000116091|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817|000000004136|11|0020|LBL-PSPlas DWLiq STng 650ml CA Ft|129069.007|000000129069|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817|000000004136|11|0030|LBL-PSPlas GW DshWshLiq SmpTng 650ml Bk|129013.007|000000129013|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817|000000004136|11|0040|CLOS-Disp Flip Top, 28-400, Natural|119171.001|000000119171|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817|000000004136|11|0050|FM GrnWksNtrlDWLiq SplyTng|116313.002|000000118548|         146.884375|LB|COMPONENT||000000120292
0000000000000000000000000000000000007817|000000004863|11|0010|CU GrnWks Ntrl DW Liq SplyTng 12/650ml C|120264.001|000000120264|         100.000000|EA|PRODUCT||000000120292
0000000000000000000000000000000000007817|000000004863|11|0010|BTL-PET 22 fo 25% PCR|116091.001|000000116091|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817|000000004863|11|0020|LBL-PSPlas DWLiq STng 650ml CA Ft|129069.007|000000129069|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817|000000004863|11|0030|LBL-PSPlas GW DshWshLiq SmpTng 650ml Bk|129013.007|000000129013|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817|000000004863|11|0040|CLOS-Disp Flip Top, 28-400, Natural|119171.001|000000119171|         100.000000|EA|COMPONENT||000000120292
0000000000000000000000000000000000007817|000000004863|11|0050|FM GrnWks APC Or|128987.001|000000128987|         146.884375|LB|COMPONENT||000000120292
